tail,head,capacity,length,fft(min),alpha,beta,speedLimit,toll,link_type,
202,203,941.289,0.6,0.6,0.15,4,1,0,0,0
203,160,941.289,0.730435,0.730435,0.15,4,1,0,0,0
203,202,941.289,0.6,0.6,0.15,4,1,0,0,0
203,204,941.289,0.156522,0.156522,0.15,4,1,0,0,0
203,207,941.289,0.834783,0.834783333,0.15,4,1,0,0,0
204,161,662.622,1.56522,1.56522,0.15,4,1,0,0,0
204,203,941.289,0.156522,0.156522,0.15,4,1,0,0,0
204,205,941.289,0.156522,0.156522,0.15,4,1,0,0,0
205,204,941.289,0.156522,0.156522,0.15,4,1,0,0,0
205,208,1882.58,0.965217,0.965216667,0.15,4,1,0,0,0
205,839,1746.05,0.475921,0.475921667,0.15,4,1,0.0475921,0,0
206,201,941.289,0.417391,0.417391667,0.15,4,1,0,0,0
206,207,1882.58,0.469565,0.469565,0.15,4,1,0,0,0
207,203,941.289,0.834783,0.834783333,0.15,4,1,0,0,0
207,206,941.289,0.469565,0.469565,0.15,4,1,0,0,0
207,208,1882.58,0.313043,0.313043333,0.15,4,1,0.0313043,0,0
207,354,662.622,0.521739,0.521738333,0.15,4,1,0,0,0
208,205,1882.58,0.965217,0.965216667,0.15,4,1,0,0,0
208,207,941.289,0.313043,0.313043333,0.15,4,1,0,0,0
208,211,1882.58,0.521739,0.521738333,0.15,4,1,0,0,0
208,260,2678.26,1.128,1.128,0.15,4,1,0,0,0
209,196,662.622,1.64348,1.64348,0.15,4,1,0,0,0
209,210,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
210,209,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
210,354,662.622,0.443478,0.443478333,0.15,4,1,0.0443478,0,0
211,208,1882.58,0.521739,0.521738333,0.15,4,1,0,0,0
211,1036,1882.58,1.27826,1.27826,0.15,4,1,0,0,0
212,24,1.00E+05,0.8,0.8,0.15,4,1,0,0,0
212,227,1882.58,2.45217,2.452166667,0.15,4,1,0,0,0
212,1037,1882.58,0.313043,0.313043333,0.15,4,1,0,0,0
213,20,1.00E+05,3.76,3.76,0.15,4,1,0,0,0
213,214,3308.22,0.654545,0.654545,0.15,4,1,0,0,0
213,1033,3308.22,0.305455,0.305455,0.15,4,1,0,0,0
214,213,3308.22,0.654545,0.654545,0.15,4,1,0,0,0
214,215,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
214,216,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
215,179,3395.99,2.76812,2.768116667,0.15,4,1,0,0,0
215,214,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
215,216,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
216,214,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
216,215,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
216,217,3395.99,2.66667,2.666666667,0.15,4,1,0,0,0
217,216,3395.99,2.66667,2.666666667,0.15,4,1,0,0,0
217,218,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
218,217,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
218,219,3395.99,0.652174,0.652173333,0.15,4,1,0,0,0
219,218,3395.99,0.652174,0.652173333,0.15,4,1,0,0,0
219,220,941.289,1.38261,1.38261,0.15,4,1,0,0,0
219,221,3395.99,1.27536,1.27536,0.15,4,1,0,0,0
219,1049,651.313,1.32,1.32,0.15,4,1,0,0,0
220,18,1.00E+05,1.28,1.28,0.15,4,1,0,0,0
220,188,941.289,1.43478,1.43478,0.15,4,1,0,0,0
220,219,941.289,1.38261,1.38261,0.15,4,1,0,0,0
221,219,3395.99,1.27536,1.27536,0.15,4,1,0,0,0
221,222,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
221,223,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
222,221,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
222,223,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
222,224,973.077,1.7037,1.7037,0.15,4,1,0,0,0
223,221,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
223,222,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
223,225,3395.99,0.753623,0.753623333,0.15,4,1,0,0,0
224,15,1.00E+05,1.32,1.32,0.15,4,1,0,0,0
224,193,973.077,0.759259,0.759258333,0.15,4,1,0,0,0
224,222,973.077,1.7037,1.7037,0.15,4,1,0,0,0
225,27,1.00E+05,1.48,1.48,0.15,4,1,0,0,0
225,223,3395.99,0.753623,0.753623333,0.15,4,1,0,0,0
225,226,2702.71,0.884058,0.884058333,0.15,4,1,0,0,0
226,225,3395.99,0.884058,0.884058333,0.15,4,1,0,0,0
226,227,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
226,228,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
226,229,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
227,212,1882.58,2.45217,2.452166667,0.15,4,1,0,0,0
227,226,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
227,228,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
227,229,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
228,226,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
228,227,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
228,229,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
228,230,1946.15,0.611111,0.611111667,0.15,4,1,0,0,0
229,226,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
229,227,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
229,228,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
229,249,3395.99,0.434783,0.434783333,0.15,4,1,0,0,0
230,228,1946.15,0.611111,0.611111667,0.15,4,1,0,0,0
230,231,1946.15,1.42593,1.42593,0.15,4,1,0,0,0
231,230,1946.15,1.42593,1.42593,0.15,4,1,0,0,0
231,232,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
232,231,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
232,233,1946.15,0.481481,0.481481667,0.15,4,1,0,0,0
233,28,1.00E+05,0.52,0.52,0.15,4,1,0,0,0
233,232,1946.15,0.481481,0.481481667,0.15,4,1,0,0,0
233,234,1946.15,0.462963,0.462963333,0.15,4,1,0,0,0
234,233,1946.15,0.462963,0.462963333,0.15,4,1,0,0,0
234,235,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
235,234,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
235,236,1946.15,0.703704,0.703703333,0.15,4,1,0,0,0
236,235,1946.15,0.703704,0.703703333,0.15,4,1,0,0,0
236,237,941.289,0.886957,0.886956667,0.15,4,1,0,0,0
236,239,2678.26,2.448,2.448,0.15,4,1,0,0,0
236,245,941.289,0.965217,0.965216667,0.15,4,1,0,0,0
237,30,1.00E+05,3.8,3.8,0.15,4,1,0,0,0
237,236,941.289,0.886957,0.886956667,0.15,4,1,0,0,0
237,238,941.289,1.09565,1.09565,0.15,4,1,0,0,0
238,27,1.00E+05,1.88,1.88,0.15,4,1,0,0,0
238,237,941.289,1.09565,1.09565,0.15,4,1,0,0,0
238,1050,651.313,2.46,2.46,0.15,4,1,0,0,0
239,30,1.00E+05,1.64,1.64,0.15,4,1,0,0,0
239,236,2678.26,2.448,2.448,0.15,4,1,0,0,0
239,240,662.622,0.286957,0.286956667,0.15,4,1,0.0286957,0,0
240,29,1.00E+05,1.04,1.04,0.15,4,1,0,0,0
240,239,662.622,0.286957,0.286956667,0.15,4,1,0,0,0
240,242,941.289,5.42609,5.426083333,0.15,4,1,0,0,0
241,123,1.00E+05,2,2,0.15,4,1,0,0,0
241,242,1298.36,0.48,0.48,0.15,4,1,0,0,0
241,353,3395.99,5.56522,5.565216667,0.15,4,1,0,0,0
242,240,941.289,5.42609,5.426083333,0.15,4,1,0,0,0
242,241,1298.36,0.48,0.48,0.15,4,1,0,0,0
242,243,1351.35,2.6087,2.6087,0.15,4,1,0,0,0
243,31,1.00E+05,0.52,0.52,0.15,4,1,0,0,0
243,242,1351.35,2.6087,2.6087,0.15,4,1,0,0,0
243,244,1351.35,1.37681,1.37681,0.15,4,1,0,0,0
244,243,1351.35,1.37681,1.37681,0.15,4,1,0,0,0
244,245,941.289,0.808696,0.808696667,0.15,4,1,0.0808696,0,0
244,246,966.833,0.463768,0.463768333,0.15,4,1,0,0,0
244,349,973.077,1.92593,1.925933333,0.15,4,1,0,0,0
245,29,1.00E+05,3.92,3.92,0.15,4,1,0,0,0
245,236,941.289,0.965217,0.965216667,0.15,4,1,0,0,0
245,244,941.289,0.808696,0.808696667,0.15,4,1,0,0,0
246,244,966.833,0.463768,0.463768333,0.15,4,1,0,0,0
246,247,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
247,246,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
247,248,966.833,1.34783,1.34783,0.15,4,1,0,0,0
248,26,1.00E+05,1.52,1.52,0.15,4,1,0,0,0
248,247,966.833,1.34783,1.34783,0.15,4,1,0,0,0
248,252,966.833,1.31884,1.31884,0.15,4,1,0,0,0
249,229,2702.71,0.434783,0.434783333,0.15,4,1,0,0,0
249,250,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
250,249,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
250,251,3395.99,0.869565,0.869565,0.15,4,1,0,0,0
251,250,3395.99,0.869565,0.869565,0.15,4,1,0,0,0
251,252,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
251,253,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
251,254,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
252,248,966.833,1.31884,1.31884,0.15,4,1,0,0,0
252,251,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
252,253,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
252,254,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
253,251,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
253,252,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
253,254,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
253,284,3395.99,0.405797,0.405796667,0.15,4,1,0,0,0
254,251,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
254,252,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
254,253,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
254,255,941.289,0.834783,0.834783333,0.15,4,1,0,0,0
255,254,941.289,0.834783,0.834783333,0.15,4,1,0,0,0
255,256,941.289,1.12174,1.12174,0.15,4,1,0,0,0
255,283,941.289,0.991304,0.991303333,0.15,4,1,0,0,0
256,255,941.289,1.12174,1.12174,0.15,4,1,0,0,0
256,257,941.289,1.98261,1.982616667,0.15,4,1,0,0,0
256,283,941.289,0.991304,0.991303333,0.15,4,1,0,0,0
257,25,1.00E+05,1.8,1.8,0.15,4,1,0,0,0
257,256,941.289,1.98261,1.982616667,0.15,4,1,0,0,0
257,258,941.289,0.547826,0.547826667,0.15,4,1,0,0,0
258,257,941.289,0.547826,0.547826667,0.15,4,1,0,0,0
258,281,941.289,2.13913,2.139133333,0.15,4,1,0,0,0
258,1038,1882.58,0.704348,0.704348333,0.15,4,1,0,0,0
259,260,1882.58,0.469565,0.469565,0.15,4,1,0,0,0
259,1038,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
259,1047,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
260,25,1.00E+05,2.28,2.28,0.15,4,1,0,0,0
260,208,2678.26,1.128,1.128,0.15,4,1,0,0,0
260,259,1882.58,0.469565,0.469565,0.15,4,1,0,0,0
261,262,2678.26,0.792,0.792,0.15,4,1,0,0,0
261,278,662.622,1.12174,1.12174,0.15,4,1,0,0,0
261,1047,2678.26,0.888,0.888,0.15,4,1,0,0,0
262,21,1.00E+05,0.68,0.68,0.15,4,1,0,0,0
262,261,2678.26,0.792,0.792,0.15,4,1,0,0,0
262,263,2678.26,0.552,0.552,0.15,4,1,0,0,0
263,262,2678.26,0.552,0.552,0.15,4,1,0,0,0
263,264,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
263,265,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
264,263,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
264,265,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
264,871,3552.27,0.577778,0.577778333,0.15,4,1,0,0,0
265,263,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
265,264,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
265,266,941.289,0.93913,0.93913,0.15,4,1,0,0,0
266,23,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
266,265,941.289,0.93913,0.93913,0.15,4,1,0.093913,0,0
266,267,1882.58,0.730435,0.730435,0.15,4,1,0,0,0
267,266,941.289,0.730435,0.730435,0.15,4,1,0.0730435,0,0
267,268,1882.58,0.156522,0.156522,0.15,4,1,0,0,0
267,269,1882.58,0.6,0.6,0.15,4,1,0.06,0,0
268,267,1882.58,0.156522,0.156522,0.15,4,1,0,0,0
268,272,1882.58,0.782609,0.782608333,0.15,4,1,0,0,0
268,274,2823.87,1.06957,1.06957,0.15,4,1,0,0,0
269,268,2823.87,0.6,0.6,0.15,4,1,0,0,0
269,270,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
270,269,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
270,271,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
270,356,4017.38,0.648,0.648,0.15,4,1,0.0648,0,0
271,269,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
271,270,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
271,272,1339.13,0.864,0.864,0.15,4,1,0,0,0
272,33,1.00E+05,0.84,0.84,0.15,4,1,0,0,0
272,268,941.289,0.782609,0.782608333,0.15,4,1,0,0,0
272,271,2678.26,0.864,0.864,0.15,4,1,0.0864,0,0
272,295,1339.13,0.72,0.72,0.15,4,1,0,0,0
273,32,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
273,267,2823.87,0.730435,0.730435,0.15,4,1,0,0,0
274,32,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
274,275,2823.87,0.417391,0.417391667,0.15,4,1,0,0,0
275,276,1325.24,0.156522,0.156522,0.15,4,1,0,0,0
275,280,2823.87,0.365217,0.365216667,0.15,4,1,0,0,0
275,294,662.622,0.86087,0.86087,0.15,4,1,0,0,0
276,273,2823.87,0.756522,0.756521667,0.15,4,1,0,0,0
276,275,1325.24,0.156522,0.156522,0.15,4,1,0,0,0
276,277,662.622,0.886957,0.886956667,0.15,4,1,0,0,0
277,23,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
277,276,662.622,0.886957,0.886956667,0.15,4,1,0,0,0
277,278,662.622,0.286957,0.286956667,0.15,4,1,0,0,0
278,22,1.00E+05,0.56,0.56,0.15,4,1,0,0,0
278,261,662.622,1.12174,1.12174,0.15,4,1,0,0,0
278,277,662.622,0.286957,0.286956667,0.15,4,1,0,0,0
279,276,2823.87,0.365217,0.365216667,0.15,4,1,0,0,0
280,279,1882.58,0.156522,0.156522,0.15,4,1,0.0156522,0,0
280,281,1882.58,1.04348,1.04348,0.15,4,1,0.104348,0,0
281,258,1882.58,2.13913,2.139133333,0.15,4,1,0,0,0
281,280,1882.58,1.04348,1.04348,0.15,4,1,0.104348,0,0
281,282,1882.58,0.93913,0.93913,0.15,4,1,0,0,0
281,293,973.077,0.296296,0.296296667,0.15,4,1,0,0,0
282,34,1.00E+05,1.08,1.08,0.15,4,1,0,0,0
282,281,1882.58,0.93913,0.93913,0.15,4,1,0,0,0
282,283,1946.15,0.666667,0.666666667,0.15,4,1,0,0,0
283,255,941.289,0.991304,0.991303333,0.15,4,1,0,0,0
283,256,941.289,0.991304,0.991303333,0.15,4,1,0,0,0
283,282,1946.15,0.666667,0.666666667,0.15,4,1,0,0,0
283,284,1946.15,0.925926,0.925926667,0.15,4,1,0,0,0
284,253,3395.99,0.405797,0.405796667,0.15,4,1,0,0,0
284,283,1946.15,0.925926,0.925926667,0.15,4,1,0,0,0
284,285,3395.99,0.188406,0.188406667,0.15,4,1,0,0,0
285,26,1.00E+05,1.12,1.12,0.15,4,1,0,0,0
285,284,3395.99,0.188406,0.188406667,0.15,4,1,0,0,0
285,286,3395.99,0.608696,0.608696667,0.15,4,1,0,0,0
286,285,3395.99,0.608696,0.608696667,0.15,4,1,0,0,0
286,287,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
287,286,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
287,288,3395.99,0.333333,0.333333333,0.15,4,1,0,0,0
288,287,3395.99,0.333333,0.333333333,0.15,4,1,0,0,0
288,289,941.289,1.33043,1.33043,0.15,4,1,0,0,0
288,341,3395.99,0.73913,0.73913,0.15,4,1,0,0,0
289,37,1.00E+05,2.56,2.56,0.15,4,1,0,0,0
289,288,941.289,1.33043,1.33043,0.15,4,1,0,0,0
289,290,1411.93,1.33043,1.33043,0.15,4,1,0,0,0
290,289,941.289,1.33043,1.33043,0.15,4,1,0,0,0
290,291,1946.15,0.37037,0.37037,0.15,4,1,0.037037,0,0
290,336,973.077,0.481481,0.481481667,0.15,4,1,0,0,0
291,290,973.077,0.37037,0.37037,0.15,4,1,0,0,0
291,292,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
292,291,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
292,293,1946.15,0.814815,0.814815,0.15,4,1,0.0814815,0,0
293,34,1.00E+05,1.44,1.44,0.15,4,1,0,0,0
293,281,1946.15,0.296296,0.296296667,0.15,4,1,0.0296296,0,0
293,292,973.077,0.814815,0.814815,0.15,4,1,0,0,0
294,32,1.00E+05,0.96,0.96,0.15,4,1,0,0,0
294,275,662.622,0.86087,0.86087,0.15,4,1,0,0,0
294,299,662.622,0.86087,0.86087,0.15,4,1,0,0,0
295,32,1.00E+05,1.2,1.2,0.15,4,1,0,0,0
295,272,2678.26,0.72,0.72,0.15,4,1,0.072,0,0
295,296,1339.13,0.648,0.648,0.15,4,1,0,0,0
296,295,2678.26,0.648,0.648,0.15,4,1,0.0648,0,0
296,297,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
296,298,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
297,296,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
297,298,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
297,299,662.622,0.547826,0.547826667,0.15,4,1,0,0,0
298,296,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
298,297,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
298,300,1946.15,0.444444,0.444443333,0.15,4,1,0,0,0
299,294,662.622,0.86087,0.86087,0.15,4,1,0,0,0
299,297,662.622,0.547826,0.547826667,0.15,4,1,0,0,0
300,35,1.00E+05,0.6,0.6,0.15,4,1,0,0,0
300,298,2919.23,0.444444,0.444443333,0.15,4,1,0.0444444,0,0
300,301,2919.23,0.555556,0.555556667,0.15,4,1,0,0,0
301,300,1946.15,0.555556,0.555556667,0.15,4,1,0.0555556,0,0
301,302,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
301,303,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
302,301,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
302,327,973.077,0.888889,0.888888333,0.15,4,1,0,0,0
303,301,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
303,302,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
303,304,973.077,0.685185,0.685185,0.15,4,1,0,0,0
304,303,1946.15,0.685185,0.685185,0.15,4,1,0,0,0
304,305,662.622,1.14783,1.14783,0.15,4,1,0,0,0
304,310,973.077,0.87037,0.87037,0.15,4,1,0,0,0
305,36,1.00E+05,0.84,0.84,0.15,4,1,0,0,0
305,304,662.622,1.14783,1.14783,0.15,4,1,0,0,0
305,306,662.622,0.704348,0.704348333,0.15,4,1,0,0,0
306,305,662.622,0.704348,0.704348333,0.15,4,1,0,0,0
306,307,2683.31,0.611111,0.611111667,0.15,4,1,0,0,0
306,380,3492.09,0.713881,0.713881667,0.15,4,1,0,0,0
307,306,2683.31,0.611111,0.611111667,0.15,4,1,0.0611111,0,0
307,308,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
307,309,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
308,307,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
308,310,2683.31,0.925926,0.925926667,0.15,4,1,0,0,0
309,307,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
309,308,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
309,313,2683.31,1.48148,1.48148,0.15,4,1,0,0,0
310,304,1946.15,0.87037,0.87037,0.15,4,1,0,0,0
310,308,2683.31,0.925926,0.925926667,0.15,4,1,0,0,0
310,311,973.077,0.333333,0.333333333,0.15,4,1,0,0,0
310,328,1946.15,0.759259,0.759258333,0.15,4,1,0,0,0
311,40,1.00E+05,0.48,0.48,0.15,4,1,0,0,0
311,310,1946.15,0.333333,0.333333333,0.15,4,1,0,0,0
311,312,973.077,1,1,0.15,4,1,0,0,0
312,41,1.00E+05,1.52,1.52,0.15,4,1,0,0,0
312,311,1946.15,1,1,0.15,4,1,0,0,0
312,314,973.077,0.87037,0.87037,0.15,4,1,0,0,0
313,41,1.00E+05,1.32,1.32,0.15,4,1,0,0,0
313,309,2683.31,1.48148,1.48148,0.15,4,1,0,0,0
313,315,2683.31,0.833333,0.833333333,0.15,4,1,0,0,0
314,312,1946.15,0.87037,0.87037,0.15,4,1,0,0,0
314,315,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
314,316,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
315,313,2683.31,0.833333,0.833333333,0.15,4,1,0,0,0
315,314,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
315,316,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
316,314,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
316,315,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
316,317,973.077,0.777778,0.777778333,0.15,4,1,0,0,0
317,316,1946.15,0.777778,0.777778333,0.15,4,1,0,0,0
317,318,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
318,317,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
318,319,973.077,0.814815,0.814815,0.15,4,1,0,0,0
319,43,1.00E+05,1.76,1.76,0.15,4,1,0,0,0
319,318,973.077,0.814815,0.814815,0.15,4,1,0.0814815,0,0
319,320,973.077,0.351852,0.351851667,0.15,4,1,0,0,0
320,319,973.077,0.351852,0.351851667,0.15,4,1,0,0,0
320,321,966.833,1.81159,1.811583333,0.15,4,1,0,0,0
320,333,662.622,3.65217,3.652166667,0.15,4,1,0,0,0
321,45,1.00E+05,0.76,0.76,0.15,4,1,0,0,0
321,320,966.833,1.81159,1.811583333,0.15,4,1,0,0,0
321,322,966.833,1.30435,1.30435,0.15,4,1,0,0,0
322,321,966.833,1.30435,1.30435,0.15,4,1,0,0,0
322,323,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
322,324,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
322,325,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
323,322,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
323,324,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
323,325,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
323,326,3395.99,2.24638,2.246383333,0.15,4,1,0,0,0
324,126,1.00E+05,2,2,0.15,4,1,0,0,0
324,322,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
324,323,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
324,325,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
325,322,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
325,323,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
325,324,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
325,423,3395.99,3.11594,3.115933333,0.15,4,1,0,0,0
326,323,3395.99,2.24638,2.246383333,0.15,4,1,0,0,0
326,335,3395.99,1.02899,1.02899,0.15,4,1,0,0,0
327,38,1.00E+05,0.56,0.56,0.15,4,1,0,0,0
327,302,1946.15,0.888889,0.888888333,0.15,4,1,0.0888889,0,0
327,328,1946.15,0.296296,0.296296667,0.15,4,1,0,0,0
328,310,2683.31,0.759259,0.759258333,0.15,4,1,0,0,0
328,327,1946.15,0.296296,0.296296667,0.15,4,1,0.0296296,0,0
328,329,973.077,1.25926,1.25926,0.15,4,1,0,0,0
328,337,2683.31,1.55556,1.55556,0.15,4,1,0,0,0
329,39,1.00E+05,0.6,0.6,0.15,4,1,0,0,0
329,328,1946.15,1.25926,1.25926,0.15,4,1,0.125926,0,0
329,330,973.077,1.22222,1.22222,0.15,4,1,0,0,0
330,329,1946.15,1.22222,1.22222,0.15,4,1,0,0,0
330,331,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
331,330,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
331,332,973.077,0.814815,0.814815,0.15,4,1,0,0,0
332,42,1.00E+05,0.92,0.92,0.15,4,1,0,0,0
332,331,1946.15,0.814815,0.814815,0.15,4,1,0,0,0
332,333,973.077,0.259259,0.259258333,0.15,4,1,0,0,0
333,320,662.622,3.65217,3.652166667,0.15,4,1,0,0,0
333,332,1946.15,0.259259,0.259258333,0.15,4,1,0,0,0
333,334,966.833,1.17391,1.17391,0.15,4,1,0,0,0
334,45,1.00E+05,0.76,0.76,0.15,4,1,0,0,0
334,333,966.833,1.17391,1.17391,0.15,4,1,0,0,0
334,335,966.833,1.3913,1.3913,0.15,4,1,0,0,0
335,125,1.00E+05,2,2,0.15,4,1,0,0,0
335,326,3395.99,1.02899,1.02899,0.15,4,1,0,0,0
335,334,966.833,1.3913,1.3913,0.15,4,1,0,0,0
335,348,3395.99,1.78261,1.782616667,0.15,4,1,0,0,0
336,37,1.00E+05,2.96,2.96,0.15,4,1,0,0,0
336,290,973.077,0.481481,0.481481667,0.15,4,1,0.0481481,0,0
336,337,973.077,1.57407,1.57407,0.15,4,1,0,0,0
337,328,2683.31,1.55556,1.55556,0.15,4,1,0,0,0
337,336,973.077,1.57407,1.57407,0.15,4,1,0,0,0
337,338,2702.71,0.434783,0.434783333,0.15,4,1,0,0,0
338,142,1.00E+05,5.28,5.28,0.15,4,1,0,0,0
338,337,2702.71,0.434783,0.434783333,0.15,4,1,0,0,0
338,339,2702.71,0.507246,0.507246667,0.15,4,1,0,0,0
339,44,1.00E+05,1.68,1.68,0.15,4,1,0,0,0
339,338,2702.71,0.507246,0.507246667,0.15,4,1,0,0,0
339,340,2702.71,0.333333,0.333333333,0.15,4,1,0,0,0
340,37,1.00E+05,2.56,2.56,0.15,4,1,0,0,0
340,339,2702.71,0.333333,0.333333333,0.15,4,1,0,0,0
340,343,2702.71,1.17391,1.17391,0.15,4,1,0,0,0
341,37,1.00E+05,2.96,2.96,0.15,4,1,0,0,0
341,288,3395.99,0.73913,0.73913,0.15,4,1,0,0,0
341,342,3395.99,1.30435,1.30435,0.15,4,1,0,0,0
342,341,3395.99,1.30435,1.30435,0.15,4,1,0,0,0
342,343,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
342,344,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
342,345,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
343,340,2702.71,1.17391,1.17391,0.15,4,1,0,0,0
343,342,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
343,344,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
343,345,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
344,342,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
344,343,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
344,345,1.00E+05,0.01,0.01,0.15,4,1,0,0,0
344,351,2596.73,1.34182,1.34182,0.15,4,1,0,0,0
